artist_name,id,href,popularity,genres,followers
The Jackson 5,2iE18Oxc8YSumAU232n4rW,https://api.spotify.com/v1/artists/2iE18Oxc8YSumAU232n4rW,75,"motown, soul",1460503
The Jacksons,2yrbLiuBmc9j81lTX3XUuI,https://api.spotify.com/v1/artists/2yrbLiuBmc9j81lTX3XUuI,56,"disco, motown",1769316
MikeJack3200,1DsOlo169ovaAx19956vOb,https://api.spotify.com/v1/artists/1DsOlo169ovaAx19956vOb,32,other,4927
Jackson,7BNHznQrUoZRBlr3aijk7n,https://api.spotify.com/v1/artists/7BNHznQrUoZRBlr3aijk7n,27,other,241
Mikayla Jackson,2mFrm3KGmRhW62fnDeyhAW,https://api.spotify.com/v1/artists/2mFrm3KGmRhW62fnDeyhAW,27,other,373
jaackson,1Mvzmc04DfxzjMsV6oCohI,https://api.spotify.com/v1/artists/1Mvzmc04DfxzjMsV6oCohI,35,other,387
Millie Jackson,27XI002zivG9xuzrZ9dIb1,https://api.spotify.com/v1/artists/27XI002zivG9xuzrZ9dIb1,37,"quiet storm, soul blues, southern soul",141233
Jackson Mathod,6RvLMgatQu3kdjDpYyQnTx,https://api.spotify.com/v1/artists/6RvLMgatQu3kdjDpYyQnTx,36,uk contemporary jazz,4888
Ricky Jackson,0fx4HE5hQcqSgNPUV3c3ku,https://api.spotify.com/v1/artists/0fx4HE5hQcqSgNPUV3c3ku,27,other,94
Andrew Jackson,5RSplWKaHB1rliCI4CNSQO,https://api.spotify.com/v1/artists/5RSplWKaHB1rliCI4CNSQO,31,other,951
Jackson Michelson,75u3YWqj5cBc7lxxfctOqN,https://api.spotify.com/v1/artists/75u3YWqj5cBc7lxxfctOqN,21,country pop,9684
Michael Hacker,5Ygjiwseaa9WNAWm7yBZNy,https://api.spotify.com/v1/artists/5Ygjiwseaa9WNAWm7yBZNy,26,other,18
Thomas Jackson,41stF0r3WopxZKcDOh8yB6,https://api.spotify.com/v1/artists/41stF0r3WopxZKcDOh8yB6,31,other,603
Javon Jackson,57vcT3Th6V43bi5Jr5aSZl,https://api.spotify.com/v1/artists/57vcT3Th6V43bi5Jr5aSZl,25,other,1421
J.J. Jackson,6FBBmwVjTdJ54I7j4BNkF5,https://api.spotify.com/v1/artists/6FBBmwVjTdJ54I7j4BNkF5,22,other,2365
S. JAISON JACKSON,3tIGCs78jofJhKX8VooEzF,https://api.spotify.com/v1/artists/3tIGCs78jofJhKX8VooEzF,16,other,85
Max Jackson,6uxoiISyynknybWW6SQrTe,https://api.spotify.com/v1/artists/6uxoiISyynknybWW6SQrTe,25,australian country,2069
Alexis Nicole Jackson,53bm5rdsUrvbu5YCE8nCcE,https://api.spotify.com/v1/artists/53bm5rdsUrvbu5YCE8nCcE,18,high vibe,3543
Jackson Sisters,4Nud0bPKFFBGWHxedLdHOZ,https://api.spotify.com/v1/artists/4Nud0bPKFFBGWHxedLdHOZ,30,rare groove,6888
Amiri Jaccson,4qEk2oWQNG0K6VQM8ejs18,https://api.spotify.com/v1/artists/4qEk2oWQNG0K6VQM8ejs18,21,other,190
